CameraHeadRef,Location.Desc,Location.Lat,Location.Long,CamType,SpeedLimitStd
16/802013,Barking,51.55910705,0.13003959,Red Light,30
16/802014,Barking,51.5459844,0.09420596,Red Light,30
16/802015,Barking,51.53987489,0.14810576,Red Light,20
16/802016,Barking,51.53119573,0.14471277,Red Light,30
16/802019,Barking,51.5513702,0.14749296,Red Light,30
16/802024,Barking,51.53238298,0.1179782,Red Light,40
16/702535,Barking,51.53680342,0.16207874,Speed Camera,30
16/702540,Barking,51.53700394,0.17118753,Speed Camera,30
16/702541,Barking,51.53700394,0.17118753,Speed Camera,30
16/702545,Barking,51.53083022,0.15092436,Speed Camera,30
16/702610,Barking,51.53883339,0.0674304,Speed Camera,50
16/709434,Barking,51.56117233,0.14257291,Speed Camera,30
16/709435,Barking,51.54906249,0.10160244,Speed Camera,30
16/739514,Barking,51.52966019,0.08979486,Average Speed Camera,50
16/739515,Barking,51.53088721,0.09662754,Average Speed Camera,50
16/739516,Barking,51.53123907,0.09857575,Average Speed Camera,50
16/739519,Barking,51.53184135,0.128522,Average Speed Camera,50
16/739523,Barking,51.53110293,0.13846519,Average Speed Camera,50
16/739524,Barking,51.5292044,0.14098591,Average Speed Camera,50
16/739525,Barking,51.52419674,0.15123185,Average Speed Camera,50
16/739526,Barking,51.52408127,0.1526248,Average Speed Camera,50
16/739527,Barking,51.5293808,0.13969658,Average Speed Camera,50
16/739528,Barking,51.53107258,0.13667587,Average Speed Camera,50
16/739529,Barking,51.53153795,0.12987762,Average Speed Camera,50
16/739534,Barking,51.53091843,0.09840241,Average Speed Camera,50
16/739535,Barking,51.53022952,0.09568901,Average Speed Camera,50
16/739536,Barking,51.52919473,0.08916801,Average Speed Camera,50
30/807001,Barnet,51.58986581,-0.200375,Red Light,40
30/807002,Barnet,51.58122535,-0.21162821,Red Light,40
30/807003,Barnet,51.56639594,-0.20628057,Red Light,40
30/807004,Barnet,51.56173242,-0.20357853,Red Light,40
30/807005,Barnet,51.56118156,-0.20342712,Red Light,40
30/807006,Barnet,51.56802745,-0.2065338,Red Light,40
30/807007,Barnet,51.58242287,-0.227126,Red Light,40
30/807008,Barnet,51.58298667,-0.22694526,Red Light,40
30/807009,Barnet,51.62147621,-0.27362588,Red Light,50
30/807010,Barnet,51.62150006,-0.27463616,Red Light,50
30/807011,Barnet,51.58549807,-0.23068701,Red Light,40
30/807012,Barnet,51.58634019,-0.23107291,Red Light,40
30/807016,Barnet,51.59094679,-0.21166465,Red Light,50
30/807021,Barnet,51.59537081,-0.21696276,Red Light,50
30/807022,Barnet,51.58345562,-0.16737205,Red Light,50
30/807025,Barnet,51.59159695,-0.21184119,Red Light,50
30/807027,Barnet,51.59252436,-0.23448535,Red Light,50
30/702563,Barnet,51.66703179,-0.19763753,Speed Camera,30
30/707584,Barnet,51.60088717,-0.17455434,Speed Camera,50
30/707601,Barnet,51.57207246,-0.21113652,Speed Camera,40
30/707602,Barnet,51.57778366,-0.2165116,Speed Camera,40
30/707603,Barnet,51.57772074,-0.21592236,Speed Camera,40
30/707604,Barnet,51.57881052,-0.22313907,Speed Camera,40
30/707605,Barnet,51.60287828,-0.23713119,Speed Camera,50
30/707606,Barnet,51.61158673,-0.24160393,Speed Camera,50
30/707607,Barnet,51.62719645,-0.2542358,Speed Camera,50
30/707608,Barnet,51.62719645,-0.2542358,Speed Camera,50
30/707609,Barnet,51.65077425,-0.25058258,Speed Camera,70
30/707610,Barnet,51.65077425,-0.25058258,Speed Camera,70
30/707616,Barnet,51.6084046,-0.14529641,Speed Camera,50
30/707617,Barnet,51.6084046,-0.14529641,Speed Camera,50
30/707626,Barnet,51.60594455,-0.15982358,Speed Camera,50
30/707627,Barnet,51.5937503,-0.18576976,Speed Camera,50
30/707628,Barnet,51.57185497,-0.21043799,Speed Camera,40
30/707629,Barnet,51.62226216,-0.28183012,Speed Camera,50
30/707630,Barnet,51.58496823,-0.17556804,Speed Camera,40
30/707631,Barnet,51.58518908,-0.1758912,Speed Camera,40
18/703324,Bexley,51.45347745,0.0985623,Speed Camera,50
18/703325,Bexley,51.45316064,0.0986773,Speed Camera,50
18/703326,Bexley,51.44939427,0.12056795,Speed Camera,50
18/703327,Bexley,51.44828504,0.12867672,Speed Camera,50
18/703330,Bexley,51.42992755,0.1392024,Speed Camera,40
18/703331,Bexley,51.42992755,0.1392024,Speed Camera,40
18/703332,Bexley,51.41893096,0.13168436,Speed Camera,40
18/703333,Bexley,51.41893096,0.13168436,Speed Camera,40
18/703334,Bexley,51.46819644,0.18097718,Speed Camera,40
18/703335,Bexley,51.48059836,0.1702777,Speed Camera,30
18/703336,Bexley,51.48059836,0.1702777,Speed Camera,30
18/703337,Bexley,51.48139097,0.15363783,Speed Camera,30
18/703338,Bexley,51.48139097,0.15363783,Speed Camera,30
18/703339,Bexley,51.48137155,0.12414047,Speed Camera,30
18/703340,Bexley,51.48137155,0.12414047,Speed Camera,30
18/703341,Bexley,51.50323456,0.12654095,Speed Camera,50
18/703342,Bexley,51.50323456,0.12654095,Speed Camera,50
18/703343,Bexley,51.49900488,0.14645791,Speed Camera,50
18/703344,Bexley,51.49900488,0.14645791,Speed Camera,50
18/703347,Bexley,51.49350538,0.16190216,Speed Camera,50
18/703348,Bexley,51.49350538,0.16190216,Speed Camera,50
18/703349,Bexley,51.48775966,0.16818385,Speed Camera,50
