CameraHeadRef,Year,Severity,Occurence
16/802013,2012,Fatal,0
16/802014,2012,Fatal,0
16/802015,2012,Fatal,0
16/802016,2012,Fatal,0
16/802019,2012,Fatal,0
16/802024,2012,Fatal,1
16/702535,2012,Fatal,0
16/702540,2012,Fatal,0
16/702541,2012,Fatal,0
16/702545,2012,Fatal,0
16/702610,2012,Fatal,0
16/709434,2012,Fatal,0
16/709435,2012,Fatal,0
16/739514,2012,Fatal,1
16/739515,2012,Fatal,1
16/739516,2012,Fatal,1
16/739519,2012,Fatal,1
16/739523,2012,Fatal,1
16/739524,2012,Fatal,1
16/739525,2012,Fatal,1
16/739526,2012,Fatal,1
16/739527,2012,Fatal,1
16/739528,2012,Fatal,1
16/739529,2012,Fatal,1
16/739534,2012,Fatal,1
16/739535,2012,Fatal,1
16/739536,2012,Fatal,1
30/807001,2012,Fatal,0
30/807002,2012,Fatal,1
30/807003,2012,Fatal,0
30/807004,2012,Fatal,0
30/807005,2012,Fatal,0
30/807006,2012,Fatal,0
30/807007,2012,Fatal,0
30/807008,2012,Fatal,0
30/807009,2012,Fatal,0
30/807010,2012,Fatal,0
30/807011,2012,Fatal,0
30/807012,2012,Fatal,0
30/807016,2012,Fatal,0
30/807021,2012,Fatal,0
30/807022,2012,Fatal,0
30/807025,2012,Fatal,0
30/807027,2012,Fatal,0
30/702563,2012,Fatal,0
30/707584,2012,Fatal,0
30/707601,2012,Fatal,0
30/707602,2012,Fatal,0
30/707603,2012,Fatal,0
30/707604,2012,Fatal,0
30/707605,2012,Fatal,0
30/707606,2012,Fatal,0
30/707607,2012,Fatal,0
30/707608,2012,Fatal,0
30/707609,2012,Fatal,0
30/707610,2012,Fatal,0
30/707616,2012,Fatal,0
30/707617,2012,Fatal,0
30/707626,2012,Fatal,0
30/707627,2012,Fatal,0
30/707628,2012,Fatal,0
30/707629,2012,Fatal,0
30/707630,2012,Fatal,0
30/707631,2012,Fatal,0
18/703324,2012,Fatal,0
18/703325,2012,Fatal,0
18/703326,2012,Fatal,0
18/703327,2012,Fatal,0
18/703330,2012,Fatal,0
18/703331,2012,Fatal,0
18/703332,2012,Fatal,0
18/703333,2012,Fatal,0
18/703334,2012,Fatal,0
18/703335,2012,Fatal,0
18/703336,2012,Fatal,0
18/703337,2012,Fatal,0
18/703338,2012,Fatal,0
18/703339,2012,Fatal,0
18/703340,2012,Fatal,0
18/703341,2012,Fatal,0
18/703342,2012,Fatal,0
18/703343,2012,Fatal,0
18/703344,2012,Fatal,0
18/703347,2012,Fatal,0
18/703348,2012,Fatal,0
18/703349,2012,Fatal,0
18/703350,2012,Fatal,0
18/704475,2012,Fatal,0
18/704476,2012,Fatal,0
18/704487,2012,Fatal,0
18/704528,2012,Fatal,0
18/704529,2012,Fatal,0
18/709201,2012,Fatal,0
18/709202,2012,Fatal,0
18/709226,2012,Fatal,0
18/709231,2012,Fatal,0
28/806020,2012,Fatal,0
28/806021,2012,Fatal,0
28/806022,2012,Fatal,0
28/806023,2012,Fatal,0
28/807013,2012,Fatal,0
28/807017,2012,Fatal,0
28/807019,2012,Fatal,0
28/807029,2012,Fatal,0
28/807030,2012,Fatal,0
28/707501,2012,Fatal,0
28/707502,2012,Fatal,0
